ticker,company name,short name,industry,exchange
AMRB,American River Bankshares,American River Bankshares,Banks,Nasdaq Global Select
AMRC,Ameresco Inc. Class A,Ameresco,Engineering & Construction,New York Stock Exchange
AMRH,Ameri Holdings Inc.,Ameri,Application Software,NASDAQ Capital Market
AMRK,A-Mark Precious Metals Inc.,A-Mark Precious Metals,Brokers & Exchanges,Nasdaq Global Select
AMRN,Amarin Corporation plc,Amarin plc,Biotechnology,NASDAQ Global Market
AMRS,Amyris Inc.,Amyris,Chemicals,Nasdaq Global Select
AMRX,Amneal Pharmaceuticals Inc. Class A,Amneal Pharmaceuticals,Drug Manufacturers,New York Stock Exchange
AMS,American Shared Hospital Services,American Shared Hospital Services,Health Care Providers,NYSE American
AMSC,American Superconductor Corporation,American Superconductor,Computer Hardware,Nasdaq Global Select
AMSF,AMERISAFE Inc.,AMERISAFE,Insurance - Property & Casualty,Nasdaq Global Select
AMSWA,American Software Inc. Class A Common Stock,American Software Common Stock,Application Software,Nasdaq Global Select
AMT,American Tower Corporation (REIT),American Tower (REIT),Communication Services,New York Stock Exchange
AMTB,Mercantil Bank Holding Corporation,Mercantil Bank Holding,Banks,Nasdaq Global Select
AMTBB,Mercantil Bank Holding Corporation Class B Common Stock,Mercantil Bank Holding B Common Stock,Banks,Nasdaq Global Select
AMTD,TD Ameritrade Holding Corporation,TD Ameritrade Holding,Brokers & Exchanges,Nasdaq Global Select
AMTX,Aemetis Inc,Aemetis,Chemicals,NASDAQ Global Market
AMWD,American Woodmark Corporation,American Woodmark,Manufacturing - Apparel & Furniture,Nasdaq Global Select
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,America Movil S.A.B. de C.V.n Depository Receipt Series L,Communication Services,New York Stock Exchange
AMZN,Amazon.com Inc.,Amazon.com,Retail - Apparel & Specialty,Nasdaq Global Select
AN,AutoNation Inc.,AutoNation,Autos,New York Stock Exchange
ANAB,AnaptysBio Inc.,AnaptysBio,Biotechnology,Nasdaq Global Select
ANAT,American National Insurance Company,American National Insurance Company,Insurance - Property & Casualty,Nasdaq Global Select
ANDE,The Andersons Inc.,The Andersons,Retail - Defensive,Nasdaq Global Select
ANDX,Andeavor Logistics LP representing Limited Partner Interests,Andeavor Logistics representing Limited Partner Interests,Oil & Gas - Midstream,New York Stock Exchange
ANET,Arista Networks Inc.,Arista Networks,Computer Hardware,New York Stock Exchange
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Company,Retail - Apparel & Specialty,New York Stock Exchange
ANFI,Amira Nature Foods Ltd,Amira Nature Foods,Consumer Packaged Goods,New York Stock Exchange
ANGI,ANGI Homeservices Inc.,ANGI Homeservices,Online Media,Nasdaq Global Select
ANGL,VanEck Vectors Fallen Angel High Yield Bond,VanEck Vectors Fallen Angel High Yield Bond,,NYSE Arca
ANGO,AngioDynamics Inc.,AngioDynamics,Medical Instruments & Equipment,Nasdaq Global Select
ANH,Anworth Mortgage Asset Corporation,Anworth Mortgage Asset,REITs,New York Stock Exchange
ANIK,Anika Therapeutics Inc.,Anika Therapeutics,Biotechnology,Nasdaq Global Select
